reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,insturctions.started,key_instruct.started,insturctions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,polygon.started,choice.started,polygon.stopped,trial.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.03762325004208833,0.06663491600193083,4.442935207975097,space,4.296775458962657,None,,,,,,,,,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
99,110,117,0,0,0,90,4.553945125080645,,,,,,,,4.471760499989614,4.553945125080645,5.4380478750681505,5.543919250019826,8.279163541039452,t,2.828147124964744,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
98,99,59,0,1,1,10,8.29968491604086,,,,,,,,8.280259457998909,8.29968491604086,9.279911749996245,9.294349708012305,11.57297895802185,t,2.2842304160585627,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
37,44,98,0,2,2,61,11.589903458021581,,,,,,,,11.573727332986891,11.589903458021581,12.57156562502496,12.588219415978529,14.972926125046797,t,2.3839428749633953,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
49,80,83,0,3,3,32,14.987936499994248,,,,,,,,14.973646375001408,14.987936499994248,15.971684625023045,15.9778406660771,20.1466902079992,l,4.1617467909818515,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
12,52,113,0,4,4,70,20.162665375042707,,,,,,,,20.147483916021883,20.162665375042707,21.14714733301662,21.155124041019008,24.329688832978718,l,3.1780989159597084,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
41,80,85,0,5,5,68,24.344708041055128,,,,,,,,24.330409749993123,24.344708041055128,25.321949916076846,25.338951874990016,27.4136692910688,l,2.0704960830044,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
82,91,72,0,6,6,11,27.42757854098454,,,,,,,,27.414271583082154,27.42757854098454,28.41326816601213,28.422098207985982,30.356899125035852,t,1.9361486660782248,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
81,91,89,0,7,7,38,30.37437554099597,,,,,,,,30.357678874977864,30.37437554099597,31.355479374993593,31.372118166065775,33.823716875049286,t,2.451818041037768,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
99,135,54,0,8,8,84,33.840766999986954,,,,,,,,33.824684540973976,33.840766999986954,34.82227220805362,34.83896416600328,37.124559625051916,l,2.292687249951996,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
5,9,44,0,9,9,35,37.140771666076034,,,,,,,,37.12534725002479,37.140771666076034,38.122341708047315,38.138975291047245,40.20696054107975,t,2.0673712090356275,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
53,125,40,0,10,10,71,40.222609249991365,,,,,,,,40.20768012502231,40.222609249991365,41.20591116603464,41.21199495799374,42.96381908305921,l,1.7493596250424162,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
87,102,103,0,11,11,97,42.97771962499246,,,,,,,,42.96449124999344,42.97771962499246,43.96438100002706,43.97264975006692,46.357381790992804,l,2.3889275830006227,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
79,134,67,0,12,12,59,46.37497158301994,,,,,,,,46.358100833022036,46.37497158301994,47.35598433308769,47.37265487504192,48.89767750003375,l,1.5326790839899331,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
73,94,103,0,13,13,49,48.91251308307983,,,,,,,,48.89838558307383,48.91251308307983,49.89850545802619,49.906334958039224,51.62422500003595,l,1.7219282500445843,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
97,105,66,0,14,14,26,51.639563750009984,,,,,,,,51.62492904101964,51.639563750009984,52.622812999994494,52.629355582990684,55.658486249973066,t,3.0275017499225214,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
4,40,111,0,15,15,33,55.67376858298667,,,,,,,,55.65925770800095,55.67376858298667,56.65656383300666,56.663159125018865,58.24080716597382,l,1.5679668330121785,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
78,113,105,0,16,16,24,58.25521562504582,,,,,,,,58.241499957977794,58.25521562504582,59.23971358302515,59.24582979106344,60.824483833042905,l,1.5694459580117837,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
49,60,89,0,17,17,4,60.83997241605539,,,,,,,,60.82519066601526,60.83997241605539,61.82315816602204,61.82983175001573,63.88115137501154,t,2.0456542090978473,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
94,131,103,0,18,18,41,63.89499920804519,,,,,,,,63.88186070800293,63.89499920804519,64.88237937504891,64.88890416605864,66.59065208304673,l,1.701886250055395,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
33,101,48,0,19,19,82,66.60560441599227,,,,,,,,66.59138125006575,66.60560441599227,67.58177966601215,67.59488187497482,69.12469970807433,l,1.522239499958232,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
29,33,137,0,20,20,89,69.13958741608076,,,,,,,,69.12541491608135,69.13958741608076,70.12331629102118,70.1293974580476,74.14150545804296,t,4.0081679170252755,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
91,105,56,0,21,21,95,74.15628450002987,,,,,,,,74.1422071250854,74.15628450002987,75.14014545804821,75.14633145800326,76.62496337504126,t,1.4683952080085874,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
11,61,65,0,22,22,30,76.64093929098453,,,,,,,,76.62573941599112,76.64093929098453,77.62354329100344,77.62973849999253,79.03091087506618,l,1.394807125092484,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
42,61,112,0,23,23,72,79.04487104108557,,,,,,,,79.03151375008747,79.04487104108557,80.02310116600711,80.04058212507516,84.47503383306321,l,4.441175415995531,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
35,100,40,0,24,24,94,84.49051833304111,,,,,,,,84.47562270797789,84.49051833304111,85.47377808298916,85.48032587498892,88.43145591602661,l,2.944940165965818,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
33,103,62,0,25,25,48,88.44518375000916,,,,,,,,88.43204733298626,88.44518375000916,89.42388979101088,89.44054233306088,90.53166025003884,l,1.094899583957158,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
73,91,62,0,26,26,20,90.54022766603157,,,,,,,,90.5320115829818,90.54022766603157,91.52393241599202,91.52976537507493,91.5421123750275,l,-0.9332721249666065,0.044573041959665716,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
84,145,119,0,27,27,92,91.55534683307633,,,,,,,,91.54287362506147,91.55534683307633,92.5406971250195,92.54684950003866,94.64884512498975,l,2.1003811249975115,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
20,82,42,0,28,28,23,94.66400608303957,,,,,,,,94.64952550001908,94.66400608303957,95.65050591598265,95.65738720807713,98.84874329098966,l,3.195658915909007,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
40,55,62,0,29,29,3,98.86382375005633,,,,,,,,98.84949675004464,98.86382375005633,99.84940037503839,99.85752887499984,102.70893270801753,t,2.854521582950838,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
90,117,107,0,30,30,37,102.72409987507854,,,,,,,,102.70966566598509,102.72409987507854,103.70770608307794,103.71373233303893,105.05896675004624,l,1.3387605829630047,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
44,47,43,0,31,31,79,105.07479566603433,,,,,,,,105.05970287497621,105.07479566603433,106.05781012505759,106.06410545797553,107.63264870806597,t,1.5629821249749511,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
27,50,21,0,32,32,2,107.64668216602877,,,,,,,,107.63337775005493,107.64668216602877,108.63365762506146,108.64131637499668,111.59881583298557,l,2.961306249955669,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
86,91,44,0,33,33,8,111.61946120799985,,,,,,,,111.599435250042,111.61946120799985,112.59965116600506,112.6138870830182,114.45932241599075,t,1.8549720000009984,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
28,83,112,0,34,34,28,114.4737404580228,,,,,,,,114.460026249988,114.4737404580228,115.45799883303698,115.46407604101114,117.15937816607766,l,1.6855780829209834,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
89,161,107,0,35,35,60,117.17431475000922,,,,,,,,117.16008854098618,117.17431475000922,118.158203665982,118.16435650002677,122.13254324998707,l,3.9656972920056432,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
74,131,92,0,36,36,64,122.14631691598333,,,,,,,,122.13326104101725,122.14631691598333,123.12483395799063,123.14148854103405,127.08330916601699,l,3.947513291030191,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
88,104,129,0,37,37,69,127.0976306659868,,,,,,,,127.08403512497898,127.0976306659868,128.08435837505385,128.0910285830032,130.37639070802834,l,2.2869793329155073,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
37,72,107,0,38,38,67,130.3912107499782,,,,,,,,130.3770970000187,130.3912107499782,131.37514262506738,131.38164695806336,132.8432092909934,l,1.452857333002612,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
